,listing_key,listing_creation_date,loan_origination_date,loan_original_amount,monthly_loan_payment,percent_funded,term,borrower_apr,prosper_rating_alpha,listing_category_numeric,listing_category_alpha
170,34D1354489785280859E146,2012-04-14 05:39:18.747000000,2012-04-17 00:00:00,10000,397.55,1.0,36,0.28851,D,7,Other
177,0EF23547245689059886EA6,2012-05-09 23:49:41.610000000,2012-05-14 00:00:00,2900,100.09,1.0,36,0.18316,B,7,Other
182,0F553545765264265019C50,2012-04-20 13:37:22.147000000,2012-05-02 00:00:00,13500,511.95,1.0,36,0.25259,C,2,Home Improvement
183,0F5F35637146184426F6F85,2012-11-16 11:07:50.140000000,2012-11-20 00:00:00,2000,65.37,1.0,36,0.13697,A,7,Other
186,2D59353745185472301C839,2012-02-03 05:13:30.487000000,2012-02-16 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
196,10B03560492883055C87101,2012-10-18 14:53:24.960000000,2012-10-29 00:00:00,25000,574.73,1.0,60,0.15752,A,19,Vacation
204,2EB03539091133487A846CF,2012-02-08 17:50:27.123000000,2012-02-13 00:00:00,10000,291.64,1.0,60,0.27246,C,7,Other
208,2ECD354707259234475F078,2012-05-24 19:06:52.700000000,2012-06-05 00:00:00,15000,404.54,1.0,60,0.23318,B,1,Debt Consolidation
212,10F6354243629494192E867,2012-03-29 13:15:19.087000000,2012-04-12 00:00:00,4000,173.71,1.0,36,0.35797,HR,7,Other
225,2F40356178855963294ACD8,2012-10-25 17:48:30.273000000,2012-10-31 00:00:00,5000,184.27,1.0,36,0.23121,C,18,Taxes
233,11AF356472253881746F81A,2012-12-08 09:12:52.747000000,2012-12-18 00:00:00,3500,136.32,1.0,36,0.27285,D,2,Home Improvement
239,2EB235404452915583086B8,2012-03-08 09:39:25.537000000,2012-03-13 00:00:00,2000,63.59,1.0,36,0.11766,A,7,Other
240,2EB335483770727688D22E1,2012-05-20 08:49:48.090000000,2012-05-29 00:00:00,2000,79.51,1.0,36,0.28851,D,2,Home Improvement
245,300135506070437702CDEB9,2012-06-26 05:56:01.930000000,2012-07-06 00:00:00,10000,870.67,1.0,12,0.11893,A,1,Debt Consolidation
262,2ED23547507547938DE4F13,2012-05-13 12:42:30.543000000,2012-05-16 00:00:00,2500,105.55,1.0,36,0.33553,E,1,Debt Consolidation
263,2ED43565508892492DD0A1E,2012-12-10 06:33:30.860000000,2012-12-20 00:00:00,7000,226.99,1.0,36,0.13138,A,6,Auto
265,101F35507532151104C0F0D,2012-06-23 09:04:46.863000000,2012-07-03 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
266,1023354737099538398D0DE,2012-05-15 09:46:37.230000000,2012-06-01 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
268,105B3560601023947B9F8AC,2012-10-08 10:14:03.727000000,2012-10-12 00:00:00,2000,77.9,1.0,36,0.27285,D,7,Other
270,10613551817803285FC67B9,2012-07-16 18:49:35.483000000,2012-08-22 00:00:00,15000,446.71,1.0,60,0.28324,D,1,Debt Consolidation
276,2EEF356260836677934513B,2012-11-10 13:25:53.850000000,2012-11-20 00:00:00,7500,219.65,1.0,60,0.27462,D,1,Debt Consolidation
279,2F1035566338882234E499E,2012-08-30 10:31:05.053000000,2012-09-05 00:00:00,3000,69.25,1.0,60,0.15936,A,15,Medical/Dental
280,3046355508616928265C00B,2012-08-27 11:47:10.073000000,2012-08-30 00:00:00,4000,173.71,1.0,36,0.35797,HR,18,Taxes
281,306535373864632983A6F72,2012-01-12 16:11:48.840000000,2012-01-25 00:00:00,7000,280.25,1.0,36,0.29394,D,3,Business
284,10883544668474261D10D45,2012-04-05 08:11:01.317000000,2012-04-12 00:00:00,7000,255.67,1.0,36,0.22456,C,15,Medical/Dental
292,306A3553127628328914D5D,2012-08-03 12:51:43.310000000,2012-08-08 00:00:00,4000,166.3,1.0,36,0.32333,E,1,Debt Consolidation
296,309735396699401618D1EB6,2012-02-22 10:28:10.830000000,2012-02-27 00:00:00,2000,68.83,1.0,36,0.17359,B,19,Vacation
297,309B3541958507940650040,2012-03-09 06:22:27.633000000,2012-03-12 00:00:00,5025,194.18,1.0,36,0.26681,D,1,Debt Consolidation
304,0090355031840387136B537,2012-06-25 14:56:30.260000000,2012-06-29 00:00:00,2000,77.28,1.0,36,0.26681,D,11,Engagement Ring
306,00A53558296805955D2AE83,2012-09-20 07:01:03.233000000,2012-09-25 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
316,30B33555784623222BD00DF,2012-08-13 06:10:52,2012-08-28 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
322,30D935507405002019AB141,2012-06-13 14:28:36.033000000,2012-06-21 00:00:00,16500,529.62,1.0,36,0.12427,A,1,Debt Consolidation
328,08DC3557692542139C62155,2012-09-26 10:20:02.113000000,2012-10-26 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
331,08F0354470988941043223C,2012-04-08 22:24:50.183000000,2012-04-18 00:00:00,2500,106.12,1.0,36,0.33973,E,18,Taxes
335,00AD35425251122022457F4,2012-03-19 00:16:29.950000000,2012-03-27 00:00:00,2000,86.85,1.0,36,0.35797,HR,7,Other
337,00AF355959706377937C6DF,2012-10-08 09:24:16.113000000,2012-10-10 00:00:00,2000,71.64,1.0,36,0.21025,C,2,Home Improvement
350,314335501791317546FD194,2012-06-16 19:38:22.650000000,2012-06-20 00:00:00,3500,139.14,1.0,36,0.28851,D,1,Debt Consolidation
352,094A35373809268519F870C,2012-02-02 08:42:24.493000000,2012-02-06 00:00:00,15000,435.27,1.0,60,0.2699,C,7,Other
355,09583551840154471189C48,2012-07-09 06:05:00.733000000,2012-07-13 00:00:00,10000,352.86,1.0,36,0.19921,B,1,Debt Consolidation
358,096A3538907925940218D9B,2012-02-20 09:53:23.573000000,2012-02-27 00:00:00,4500,168.36,1.0,36,0.24246,C,15,Medical/Dental
363,00C63539543280000A9A48B,2012-02-14 17:49:18.953000000,2012-02-16 00:00:00,4000,173.71,1.0,36,0.35797,HR,19,Vacation
385,09143546084063023AE7720,2012-04-29 17:23:05.540000000,2012-05-11 00:00:00,4000,377.14,1.0,12,0.31368,E,3,Business
388,40E83554874578132B4CDAA,2012-07-30 19:16:35.933000000,2012-08-07 00:00:00,9000,244.7,1.0,60,0.23718,B,18,Taxes
391,410F354681069774329D89F,2012-05-22 06:11:55.710000000,2012-05-25 00:00:00,3000,110.0,1.0,36,0.22742,C,1,Debt Consolidation
396,412935579649244494ACA23,2012-09-12 15:40:46.023000000,2012-09-21 00:00:00,11000,299.07,1.0,60,0.23718,B,1,Debt Consolidation
402,012235525839898940482EF,2012-07-17 06:32:55.020000000,2012-08-06 00:00:00,15500,372.91,1.0,60,0.17849,A,1,Debt Consolidation
407,09AC35424172422634FEA19,2012-03-15 20:09:59.610000000,2012-03-19 00:00:00,4000,136.98,1.0,60,0.35838,E,1,Debt Consolidation
408,09B235528699752739AD9A8,2012-07-11 12:09:43.963000000,2012-07-18 00:00:00,6950,618.28,1.0,12,0.17969,B,1,Debt Consolidation
417,2C6E3557469555903731A6F,2012-09-18 13:33:12.273000000,2012-09-25 00:00:00,2000,75.34,1.0,36,0.24758,C,13,Household Expenses
424,41363545712758957BFF1D1,2012-05-02 18:40:47.473000000,2012-05-17 00:00:00,15000,596.32,1.0,36,0.28851,D,7,Other
430,44C635513693370780D8AC8,2012-06-26 05:31:41.677000000,2012-08-06 00:00:00,10000,332.1,1.0,36,0.14816,A,20,Wedding Loans
437,010D35391042668374C2236,2012-02-22 07:12:34.750000000,2012-02-28 00:00:00,3000,95.39,1.0,36,0.11766,A,1,Debt Consolidation
438,010E3535902893498204A4A,2012-01-15 14:20:22.153000000,2012-01-24 00:00:00,4000,171.08,1.0,36,0.34577,E,1,Debt Consolidation
449,319F35586094281891EF679,2012-09-18 22:05:42.810000000,2012-09-28 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
457,44C63556672598144C7D653,2012-09-01 08:02:00.333000000,2012-10-02 00:00:00,9000,358.98,1.0,36,0.29107,D,1,Debt Consolidation
466,099D35411858817066CFB2A,2012-03-16 08:27:10.850000000,2012-03-20 00:00:00,2500,86.04,1.0,36,0.17359,B,15,Medical/Dental
470,09AF355728033350634B1C9,2012-09-05 07:10:51.843000000,2012-09-11 00:00:00,10000,293.4,1.0,60,0.27554,C,1,Debt Consolidation
477,00EE3552610822090D973B0,2012-07-24 04:09:36.213000000,2012-07-27 00:00:00,7500,245.28,1.0,60,0.33297,E,14,Large Purchases
493,450B35441332938961FF323,2012-04-11 09:39:53.360000000,2012-04-17 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
506,08C6354171892294247E979,2012-03-22 10:54:19.730000000,2012-04-13 00:00:00,4000,173.71,1.0,36,0.35797,HR,8,Baby & Adoption
518,00C835541282813348149F6,2012-07-28 17:45:29.833000000,2012-08-22 00:00:00,2000,59.56,1.0,60,0.28324,D,1,Debt Consolidation
531,3BC835563056969451C3CF8,2012-08-28 05:06:28.960000000,2012-08-31 00:00:00,2000,178.44,1.0,12,0.18526,B,15,Medical/Dental
539,453C3553210891524D53404,2012-07-28 06:12:09.617000000,2012-07-31 00:00:00,5000,188.35,1.0,36,0.24758,C,13,Household Expenses
564,32553554603051029AE50ED,2012-08-16 20:56:29.150000000,2012-08-24 00:00:00,4000,173.71,1.0,36,0.35797,HR,7,Other
569,326835476823295343B249E,2012-05-23 18:53:40.440000000,2012-06-01 00:00:00,7000,234.85,1.0,36,0.15538,A,1,Debt Consolidation
570,326E35385034126547DDE5E,2012-02-04 05:19:25.133000000,2012-02-14 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
572,3BFF35657422250964089D7,2012-12-19 14:02:47.133000000,2012-12-31 00:00:00,7500,203.66,1.0,60,0.23656,C,13,Household Expenses
579,3C2F35349915379051C2013,2011-12-26 15:58:18.120000000,2012-01-04 00:00:00,4000,172.6,1.0,36,0.35285,HR,1,Debt Consolidation
584,45A63539447744998BB769C,2012-02-27 15:38:51.863000000,2012-03-02 00:00:00,4000,359.79,1.0,12,0.24148,C,16,Motorcycle
586,45AD3565377763936F3DB67,2012-12-03 06:16:39.627000000,2012-12-11 00:00:00,4000,133.5,1.0,60,0.34408,E,1,Debt Consolidation
591,091E3551225697388A73A25,2012-07-10 20:19:50.897000000,2012-07-18 00:00:00,13000,312.76,1.0,60,0.17849,A,1,Debt Consolidation
596,094C35346951807779E0F80,2011-12-26 22:05:27.160000000,2012-05-08 00:00:00,15000,596.32,1.0,36,0.28851,D,7,Other
597,094C3551700144680B7B88F,2012-06-25 11:20:07.280000000,2012-07-17 00:00:00,23500,565.37,1.0,60,0.17849,A,1,Debt Consolidation
601,3C4B3563677551822A14501,2012-12-03 10:13:15.167000000,2012-12-11 00:00:00,4000,168.32,1.0,36,0.33286,E,1,Debt Consolidation
607,00F43563947805596EC80E9,2012-11-14 08:35:42.453000000,2012-11-20 00:00:00,4000,135.17,1.0,60,0.35097,E,2,Home Improvement
611,00DB355736392162679A768,2012-09-13 10:07:59.230000000,2012-10-24 00:00:00,25000,594.62,1.0,60,0.17317,A,1,Debt Consolidation
624,45BB3557084565976A1ADC3,2012-09-01 11:21:52.740000000,2012-09-11 00:00:00,7500,225.98,1.0,60,0.2893,D,1,Debt Consolidation
626,45C73538911628429AAB1CD,2012-02-20 16:08:45.633000000,2012-02-23 00:00:00,2000,86.85,1.0,36,0.35797,HR,1,Debt Consolidation
627,45C8355717032471171C0DA,2012-08-29 11:45:28.977000000,2012-08-31 00:00:00,2500,104.89,1.0,36,0.33051,E,1,Debt Consolidation
645,3C873545184700684837D05,2012-04-16 08:53:17.653000000,2012-04-24 00:00:00,15000,539.88,1.0,36,0.21372,B,18,Taxes
648,3CBC3560760211190DE8262,2012-10-08 20:03:28.463000000,2012-10-26 00:00:00,6500,258.16,1.0,36,0.2878,D,2,Home Improvement
662,373235540751269391165CD,2012-07-23 14:31:24.173000000,2012-08-06 00:00:00,21000,738.19,1.0,36,0.19645,B,1,Debt Consolidation
664,37393545890147297EB0C60,2012-04-23 20:31:51.407000000,2012-05-04 00:00:00,4000,136.98,1.0,60,0.35838,E,1,Debt Consolidation
665,373E355833482725577E16A,2012-09-25 23:25:02.527000000,2012-10-11 00:00:00,15000,565.05,1.0,36,0.24758,C,1,Debt Consolidation
668,374D3551761319908A4DB98,2012-07-05 14:52:50.907000000,2012-07-20 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
673,46203553164558514C5C5DA,2012-07-16 20:30:36.303000000,2012-07-26 00:00:00,22500,521.79,1.0,60,0.16151,A,7,Other
675,46233536477253768466285,2012-01-06 11:01:34.097000000,2012-01-11 00:00:00,7000,227.64,1.0,60,0.32989,D,13,Household Expenses
678,08C235440294295171FEB39,2012-04-20 11:47:28.623000000,2012-04-25 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
684,08EB35513074073408573FC,2012-07-09 13:14:03.577000000,2012-07-24 00:00:00,3000,130.28,1.0,36,0.35797,HR,3,Business
686,3CCD3549355312727FD138A,2012-06-19 13:32:24.883000000,2012-06-25 00:00:00,2300,88.88,1.0,36,0.26681,D,1,Debt Consolidation
689,3CE235396532238795731E7,2012-02-08 07:47:33.363000000,2012-02-21 00:00:00,10000,344.16,1.0,36,0.17359,B,1,Debt Consolidation
693,3D063566410606068FD3234,2012-12-19 13:50:03.153000000,2012-12-26 00:00:00,2600,83.58,1.0,36,0.12528,A,7,Other
704,375135513912244522FB008,2012-06-29 13:32:42.087000000,2012-07-05 00:00:00,4000,136.98,1.0,60,0.35838,E,2,Home Improvement
709,376E3548235216247EE3E8C,2012-05-23 13:13:01.390000000,2012-07-19 00:00:00,4000,173.71,1.0,36,0.35797,HR,13,Household Expenses
711,462A3548962048766138F38,2012-06-10 15:30:15.987000000,2012-06-15 00:00:00,10000,379.22,1.0,36,0.25259,C,2,Home Improvement
726,0A4E354059072127709AF2B,2012-02-21 13:14:54.053000000,2012-02-28 00:00:00,6000,190.77,1.0,36,0.11766,A,2,Home Improvement
727,3D113547601415146E935A6,2012-05-14 16:21:31.590000000,2012-05-24 00:00:00,2000,178.67,1.0,12,0.20784,C,1,Debt Consolidation
729,3D2F3556299332069C000D9,2012-08-29 11:58:10.847000000,2012-08-31 00:00:00,17500,551.54,1.0,36,0.09736,AA,1,Debt Consolidation
736,376F3560857653512AB792B,2012-10-16 08:35:45.917000000,2012-10-30 00:00:00,4000,173.71,1.0,36,0.35797,HR,19,Vacation
744,316735506606836220F8ACD,2012-06-20 10:00:37.703000000,2012-06-28 00:00:00,6000,201.3,1.0,36,0.15538,A,1,Debt Consolidation
749,00F23542786755903F30151,2012-04-01 20:44:35.693000000,2012-04-13 00:00:00,5000,161.31,1.0,36,0.12782,A,1,Debt Consolidation
753,46593534850020302794C88,2012-01-06 10:45:32.743000000,2012-01-10 00:00:00,4000,171.41,1.0,36,0.34731,E,1,Debt Consolidation
754,465D35591749488888B0785,2012-10-12 14:24:02.740000000,2012-10-24 00:00:00,10000,321.45,1.0,36,0.12528,A,3,Business
776,3D88355437776946367BA94,2012-07-26 10:43:23.817000000,2012-07-30 00:00:00,8500,264.36,1.0,36,0.08829,AA,16,Motorcycle
777,3D883561364240807064C3D,2012-10-17 01:39:46.603000000,2012-10-30 00:00:00,10000,216.23,1.0,60,0.12992,AA,1,Debt Consolidation
791,00B43556833108541D6D92F,2012-08-27 09:25:26.077000000,2012-08-30 00:00:00,3000,116.5,1.0,36,0.2706,D,13,Household Expenses
792,00DC35580759283056D6711,2012-09-29 08:36:48.927000000,2012-10-02 00:00:00,15000,582.52,1.0,36,0.2706,D,7,Other
803,02633551901104909EC94F7,2012-07-05 12:12:17.550000000,2012-07-19 00:00:00,9500,299.82,1.0,60,0.31375,D,13,Household Expenses
810,46B2355086035216348F966,2012-06-20 12:53:59.477000000,2012-06-27 00:00:00,7000,188.78,1.0,60,0.23318,B,1,Debt Consolidation
818,0A0B3540353657018C937B5,2012-02-24 19:03:17.613000000,2012-02-29 00:00:00,2000,79.01,1.0,36,0.2837,D,18,Taxes
823,0A7735416695589342A9EF6,2012-02-29 16:50:48.507000000,2012-03-15 00:00:00,5000,172.08,1.0,36,0.17359,B,17,RV
828,3DB535502807309843298A3,2012-06-13 12:36:40.237000000,2012-06-25 00:00:00,15000,596.32,1.0,36,0.28851,D,18,Taxes
831,3DC43557966543171963274,2012-09-26 09:40:57.917000000,2012-10-01 00:00:00,20000,625.71,1.0,36,0.09232,AA,1,Debt Consolidation
834,31DF354651209503880DFD0,2012-05-19 08:10:03.367000000,2012-05-24 00:00:00,2500,108.57,1.0,36,0.35797,HR,15,Medical/Dental
850,02EE3561043727355E3042E,2012-10-14 20:10:01.070000000,2012-10-19 00:00:00,13800,443.6,1.0,36,0.12528,A,1,Debt Consolidation
861,0A79355892121094595E378,2012-09-20 09:18:20.913000000,2012-09-28 00:00:00,6000,189.1,1.0,36,0.09736,AA,1,Debt Consolidation
863,0A8735573796913005C87C7,2012-09-07 09:13:54.390000000,2012-09-20 00:00:00,4000,173.71,1.0,36,0.35797,HR,11,Engagement Ring
876,43A73544669106890D064BB,2012-04-20 09:11:12.287000000,2012-04-26 00:00:00,12500,419.37,1.0,36,0.15538,A,11,Engagement Ring
878,3DD43559748748238E2E169,2012-09-29 23:35:32.073000000,2012-10-02 00:00:00,3000,123.61,1.0,36,0.31627,E,19,Vacation
879,3DD835363243467133E1B2B,2012-01-07 18:11:10.273000000,2012-01-27 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
885,3E1E3534837725851C1645F,2012-01-06 09:36:25.580000000,2012-01-13 00:00:00,2000,70.52,1.0,36,0.19108,B,14,Large Purchases
895,0AC335389139305367CFB90,2012-01-30 09:35:54.470000000,2012-02-02 00:00:00,4000,173.71,1.0,36,0.35797,HR,13,Household Expenses
911,7A303545494459695A82C1D,2012-05-06 20:11:17.407000000,2012-05-24 00:00:00,4000,168.89,1.0,36,0.33553,E,1,Debt Consolidation
915,7A473540771086703421C88,2012-02-27 10:21:09.333000000,2012-03-06 00:00:00,5500,189.29,1.0,36,0.17359,B,15,Medical/Dental
919,7FD03557038829832AE8CC2,2012-09-15 19:03:10.703000000,2012-09-28 00:00:00,14500,466.11,1.0,36,0.12528,A,1,Debt Consolidation
921,3E2C355253283818287B92F,2012-07-27 09:21:43.147000000,2012-08-09 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
943,43FC3550829458294C9DD42,2012-06-28 12:39:55.140000000,2012-07-02 00:00:00,13000,350.6,1.0,60,0.23318,B,1,Debt Consolidation
947,0A9335502346326387E95AE,2012-06-22 10:59:51.177000000,2012-06-27 00:00:00,8000,256.79,1.0,36,0.12427,A,13,Household Expenses
951,0AB23544158117111EDA921,2012-04-22 06:44:28.783000000,2012-04-27 00:00:00,4000,173.71,1.0,36,0.35797,HR,3,Business
952,0AB23549902443369177B27,2012-06-04 18:48:52.393000000,2012-06-07 00:00:00,15000,579.63,1.0,36,0.26681,D,1,Debt Consolidation
958,3242354142306253684F3C0,2012-03-02 11:04:04.663000000,2012-03-12 00:00:00,3000,112.24,1.0,36,0.24246,C,13,Household Expenses
959,324A3538989127992A2E66D,2012-02-15 11:57:38.137000000,2012-02-24 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
960,3255354935785369281CA7B,2012-06-22 11:27:17.163000000,2012-07-02 00:00:00,4000,173.71,1.0,36,0.35797,HR,20,Wedding Loans
970,025435519927711048FC4E6,2012-07-14 13:49:40.630000000,2012-07-20 00:00:00,13000,390.0,1.0,60,0.28704,D,1,Debt Consolidation
972,02643551809355641ECDAD8,2012-07-19 14:27:39.597000000,2012-07-25 00:00:00,4000,173.71,1.0,36,0.35797,HR,13,Household Expenses
973,3E7235574040104860A56EE,2012-09-14 09:07:00.883000000,2012-09-24 00:00:00,2000,187.71,1.0,12,0.30461,E,7,Other
979,484B3558082069102B0F809,2012-09-17 06:49:35.107000000,2012-09-20 00:00:00,11500,316.38,1.0,60,0.24302,C,1,Debt Consolidation
984,479235384611858318DBDF2,2012-02-07 12:55:44.287000000,2012-02-13 00:00:00,5000,153.22,1.0,36,0.06828,AA,1,Debt Consolidation
990,47CE35564722969211FDB9B,2012-09-08 09:50:34.930000000,2012-09-14 00:00:00,17500,453.67,1.0,60,0.21392,B,1,Debt Consolidation
992,09D83555430445495790CFA,2012-08-27 15:55:00.237000000,2012-10-26 00:00:00,2000,86.85,1.0,36,0.35797,HR,7,Other
994,09F635476606736652D26FB,2012-06-01 06:49:46.517000000,2012-06-04 00:00:00,4000,173.71,1.0,36,0.35797,HR,13,Household Expenses
1002,32B0355657579067560C83C,2012-08-24 11:58:10.310000000,2012-08-28 00:00:00,2000,75.34,1.0,36,0.24758,C,6,Auto
1010,01F13564749450404DF2249,2012-11-25 09:16:06.380000000,2012-12-12 00:00:00,7500,297.88,1.0,36,0.2878,D,7,Other
1014,02123551993378571E98976,2012-07-02 10:41:32.997000000,2012-07-11 00:00:00,15000,565.05,1.0,36,0.24758,C,3,Business
1015,021C35455520119582568E5,2012-04-18 02:33:31.587000000,2012-04-23 00:00:00,7000,205.01,1.0,60,0.27462,C,15,Medical/Dental
1018,355A3557429142066DA131E,2012-09-10 15:22:22.187000000,2012-09-13 00:00:00,9000,355.42,1.0,36,0.28339,D,13,Household Expenses
1024,358D35475738258410681BA,2012-05-24 07:35:52.213000000,2012-05-25 00:00:00,2000,77.28,1.0,36,0.26681,D,13,Household Expenses
1025,35913558158755161767732,2012-09-12 15:04:36.263000000,2012-09-28 00:00:00,11500,350.06,1.0,60,0.29464,D,1,Debt Consolidation
1030,0A3A3537844828549923BCB,2012-02-05 13:26:09.013000000,2012-02-13 00:00:00,15000,561.21,1.0,36,0.24246,C,1,Debt Consolidation
1036,47D23546454996055888AFE,2012-05-02 19:51:57.840000000,2012-05-25 00:00:00,2000,86.85,1.0,36,0.35797,HR,1,Debt Consolidation
1045,2E313548753881356636FC1,2012-06-13 17:06:50,2012-06-22 00:00:00,4000,173.71,1.0,36,0.35797,HR,1,Debt Consolidation
1047,2E3B355131838827286EA4D,2012-06-22 19:22:34.453000000,2012-06-26 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
1060,022F3537771829062845E0E,2012-01-14 20:03:43.300000000,2012-01-20 00:00:00,2000,85.54,1.0,36,0.34577,E,1,Debt Consolidation
1063,35973537767842230ECA17A,2012-02-04 21:57:11.833000000,2012-02-07 00:00:00,3000,111.86,1.0,36,0.2399,C,1,Debt Consolidation
1064,35983541133056379F4AA5F,2012-03-13 11:00:22.230000000,2012-04-13 00:00:00,2000,0.0,1.0,12,0.13696,A,3,Business
1066,359A3542272125614BCC27B,2012-03-27 18:22:23.797000000,2012-04-10 00:00:00,4000,173.71,1.0,36,0.35797,HR,2,Home Improvement
1071,0A4535655523808044E6B04,2012-12-07 10:45:03.667000000,2012-12-26 00:00:00,4000,135.17,1.0,60,0.35097,E,6,Auto
1077,0A633542844139808F0E31C,2012-04-04 09:57:14.243000000,2012-04-10 00:00:00,2000,74.83,1.0,36,0.24246,C,13,Household Expenses
